Customer Name,Customer ID,Row ID,Lenghth,Order Priority,Discount, Unit Price , Shipping Cost ,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date, Profit ,Quantity ordered new,Sales,Order ID,Status
Maureen Stout,3146,19194,8,Critical,7%, $3.71 , $1.93 ,Express Air,Corporate,Office Supplies,Paper,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",35%,United States,Central,Texas,Pharr,78577,04-01-2015,06-01-2015, $6.33 ,11,39.64,85850,Accepted
Wayne Bass,2548,6525,3,Low,0%, $35.99 , $0.99 ,Regular Air,Small Business,Technology,Telephones and Communication,Small Pack,Accessory31,35%,United States,West,California,Los Angeles,90068,04-04-2015,11-04-2015, $840.05 ,46,1477.57,46436,Accepted
Joan Bowers,2551,24525,3,Low,0%, $35.99 , $0.99 ,Regular Air,Small Business,Technology,Telephones and Communication,Small Pack,Accessory31,35%,United States,East,Pennsylvania,York,17403,04-04-2015,11-04-2015, $265.96 ,12,385.45,88656,Accepted
Fred Barber,2976,19599,6,Medium,1%, $35.99 , $0.99 ,Regular Air,Small Business,Technology,Telephones and Communication,Small Pack,Accessory31,35%,United States,Central,Wisconsin,Oak Creek,53154,22-05-2015,23-05-2015, $882.48 ,41,1278.96,89047,Accepted
Paul W French,2817,24045,4,High,4%, $55.99 , $1.25 ,Express Air,Corporate,Technology,Telephones and Communication,Small Pack,Accessory32,35%,United States,East,Ohio,Newark,43055,01-06-2015,02-06-2015, $(18.32),3,147.56,89743,Accepted
Doris Fitzpatrick,596,24481,8,Critical,7%, $7.98 , $1.25 ,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",35%,United States,Central,Indiana,Carmel,46032,15-02-2015,17-02-2015, $26.59 ,5,38.53,86308,Accepted
Ralph Woods Scott,1765,25054,13,Not Specified,0%, $5.77 , $4.97 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Binding System Hidden Tab™ Executive Style Index Sets,35%,United States,Central,Missouri,Creve Coeur,63141,04-05-2015,05-05-2015, $3.56 ,8,52.43,89777,Accepted
Joseph Dawson,1511,23329,8,Critical,9%, $20.98 , $1.49 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Avery Legal 4-Ring Binder,35%,United States,Central,Indiana,Muncie,47302,22-06-2015,24-06-2015, $199.18 ,14,288.67,90303,Accepted
Marlene Davidson,3319,19422,0,,3%, $20.98 , $1.49 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Avery Legal 4-Ring Binder,35%,United States,South,Tennessee,Hendersonville,37075,21-05-2015,21-05-2015, $30.02 ,20,431.43,90104,Accepted
Lillian Fischer,2626,26032,4,High,10%, $41.94 , $2.99 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Trapezoid Extra Heavy Duty 4"" Binders",35%,United States,West,California,Menlo Park,94025,07-02-2015,08-02-2015, $164.08 ,6,237.8,90927,Accepted
Joanne Spivey,2187,19008,4,High,9%, $16.98 , $12.39 ,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,Brown Kraft Recycled Envelopes,35%,United States,Central,Missouri,Independence,64055,08-05-2015,10-05-2015, $(48.57),5,86.8,89440,Accepted
